"","WOREDACODE","Mean_Lime_required","W_NAME"
"236",40802,1.42007903076923,"Aseko"
"237",40803,2.103282,"gololcha"
"238",40804,0.266594336842105,"Jeju"
"239",40805,0,"Dodota"
"240",40806,0,"Zeway Dugda"
"241",40807,1.284251,"Hitosa"
"242",40808,0,"Sude"
"243",40809,2.021384,"Chole"
"244",40810,1.02028,"Amigna"
"245",40812,0,"Robe"
"246",40814,0.71175125,"Shirka"
"247",40815,0.7533635,"Digeluna Tijo"
"248",40816,0.21193345,"Tiyo"
"249",40817,1.247155,"Munesa"
"250",40818,0.648743333333333,"Limuna Bilbilo"
"251",40819,2.22274769230769,"Guna"
"252",40820,0,"Sire"
"253",40821,0.685327,"Ludehetosa"
"254",40822,0.4128138,"Deksis"
"255",40823,0,"Bale Gasera"
"256",40824,2.222769,"Enkelo Wabe"
"257",40902,0,"Doba"
"258",40903,0,"Tulo"
"259",40904,0,"Mesela"
"260",40906,0,"Anchar"
"261",40907,0,"Guba Qoricha"
"262",40908,0,"Habro"
"263",40909,0,"Daro lebu"
"264",40910,0,"Boke"
"265",40911,0.513212571428571,"QUNI"
"266",40912,0.758092565217391,"Gemechis"
"267",40913,0,"CHIRO ZURIYA"
"268",41001,0,"Kombolicha"
"269",41002,0,"Jarso"
"270",41003,0,"Gursum"
"271",41005,0,"Fedis"
"272",41006,0,"Haromaya"
"273",41007,0,"Kurfa Chele"
"274",41008,0,"QERSA"
"275",41009,0,"Meta"
"276",41010,0,"Goro Gutu"
"277",41011,0,"Deder"
"278",41012,0,"Melka Belo"
"279",41013,0,"Bedeno"
"280",41016,0,"Girawa"
"281",41104,0.993307,"Agarfa"
"282",41105,0.10579505,"GOLOLCHA"
"283",41106,0.2224827,"Gasera"
"284",41107,0,"LEGEHIDA"
"285",41108,0.2987909,"GINIR"
"286",41109,0,"Sinana"
"287",41110,1.578096,"Goba"
"288",41111,1.184562,"Arena Buluq"
"289",41112,0,"Delo Mena"
"290",41114,0.9081125,"BERBERE"
"291",41115,0,"GURADAMOLE"
"292",41116,1.179717,"GORO"
"293",41118,0,"SEWEYNA"
"294",41121,0,"Dawe Qachen"
"295",41122,1.81098,"Dinsho"
"296",41206,2.42581366666667,"Bule Hora"
"297",41207,0.5785788,"YABELO"
"298",41212,0,"Teltele"
"299",41213,2.02050166,"Abaya"
"300",41215,2.271152,"Dugdadewa"
"301",41217,1.940551,"Gelana"
"302",41301,1.51303173658537,"Ameya"
"303",41302,1.28012,"Wonchi"
"304",41303,1.66235933333333,"Weliso"
"305",41304,0.1365972,"Dawo"
"306",41305,0,"Ilu"
"307",41306,0,"Sebeta Hawas"
"308",41307,1.29879333333333,"Kersana Malima"
"309",41308,0,"Tole"
"310",41309,0,"Becho"
"311",41310,1.42648066666667,"Seden Sodo"
"312",41313,0,"Sodo Dac'ha"
"313",41401,2.552523,"Uraga"
"314",41402,1.61233755555556,"Bore"
"315",41403,2.437322,"Adola"
"316",41404,1.733453,"Wadera"
"317",41405,2.1333126,"Odo Shakiso"
"318",41406,2.591533,"QERCHA"
"319",41407,0,"Liben"
"320",41409,2.568450625,"Hambela Wamena"
"321",41410,1.902481,"GIRJA"
"322",41702,0.617511222222222,"Shala"
"323",41703,1.1575955,"Arsi Negele"
"324",41704,0.63746565,"Kofele"
"325",41705,1.55596591666667,"Kore"
"326",41706,0.8983931,"Gedeb Asasa"
"327",41707,0,"Dodola"
"328",41708,1.51471466153846,"Kokosa"
"329",41709,1.782781,"Nensebo"
"330",41710,0.71135575,"Adaba"
"331",41712,0.61145617826087,"Shashemene"
"332",41801,2.85786,"Hawa Gelan"
"333",41802,3.610337,"Yemalogi Welel"
"334",41803,3.543437,"Dale Wabera"
"335",41804,3.6289485,"Gawo Qebe"
"336",41805,2.86754626470588,"Seyo"
"337",41807,3.16860407692308,"Anfilo"
"338",41808,2.97260164285714,"Dale Sedi"
"339",41809,3.00138566666667,"Gidame"
"340",41810,3.410866,"JIMMA HORO"
"341",41811,2.490245,"Laloqile"
"342",41901,3.142121,"Horo"
"343",41903,2.14142181481481,"GUDRU"
"344",41904,2.40352033333333,"Hababo Guduru"
"345",41905,4.75143,"Abay Chomen"
"346",70101,0.6755501,"Kebena"
"347",70103,2.25635333333333,"Ezha"
"348",70104,2.044395,"Kokir Gedebano"
"349",70105,0.884485975,"SODO WEREDA"
"350",70106,1.13627095833333,"Meskan"
"351",70107,0.42405295,"Mareqo"
"352",70108,1.885397,"Enidguagn"
