"","WOREDACODE","Mean_Lime_required","W_NAME"
"373",70702,2.18166392307692,"South Ari"
"374",70703,2.035269,"GELILA"
"375",70801,2.99513863636364,"Masha"
"376",70902,3.03314,"Gesha"
"377",70903,3.109727,"Gewata"
"378",70904,2.89567773684211,"Gimbo"
"379",70905,2.6204386875,"Menjwo"
"380",70907,1.93065,"Cheta"
"381",70908,2.3063996875,"Decha"
"382",70909,3.07153756666667,"CHENA"
"383",70910,3.6281635,"Bita"
"384",71001,2.499577,"Melekoza"
"385",71003,1.0549189,"Kucha"
"386",71005,0.4558964,"Mirab Abaya"
"387",71006,1.305135,"Ariba Minichi Zuriya"
"388",71007,1.683252,"CHENCHA"
"389",71010,0,"Zala"
"390",71012,1.23006772727273,"KEMBA"
"391",71013,1.2750431,"BONKE"
"392",71014,1.740165,"Geze Gofa"
"393",71104,2.0570755,"Shay Bench"
"394",71105,2.13393711764706,"MEANT GOLDIYA"
"395",71106,2.21871466666667,"Minit Shasha"
"396",71107,2.352837,"MAJI"
"397",71110,2.158789,"Semen Bench"
"398",71201,2.69796494736842,"YEME SPECIAL"
"399",71701,3.24421,"Tocha"
"400",71702,2.3032245,"Mareka"
"401",71703,1.991922,"Loma"
"402",71704,3.031345,"Gena Bosa"
"403",71801,2.08439088679245,"Basketo"
"404",71901,2.03629675,"Konta  Special"
"405",72001,1.78134754545455,"Alicho Woriro"
"406",72002,0.521471682857143,"Silite"
"407",72003,0.861040675,"Lanifaro"
"408",72004,1.8402501,"MIRAB AZERNET BERBERE"
"409",72005,1.45396944,"Dalocha"
"410",72006,0.387122133333333,"Sankura"
"411",72007,1.96004433333333,"Misirak Azerenet Berbere"
"412",72008,0.586379669230769,"Wilbareg"
"413",72101,1.00694539622642,"Alaba"
