EA_number,Year,REGION_NAME,mean_dist_pp50k,mean_roadden,mean_Area_Ha,elevation7_sq,SLOPE_sq,Total_agr_ecological,cwd_early,cwd_late,pdsi_early,pdsi_late,cwd_w,cwd,pdsi,AcidLevel
3772,2015,Amhara,23594.74609375,0.228395238518715,485.455322265625,3976280.5,332.144836425781,8,243.191467916293,658.029322441312,-193.659914563065,-171.421181921566,450.610395178802,450.610395178802,-182.540548242315,Neutral
3773,2016,Amhara,23594.74609375,0.228395238518715,485.455322265625,3976280.5,332.144836425781,8,424.277049971897,1004.66895694644,-330.490993237342,-549.475222497511,714.473003459168,714.473003459168,-439.983107867426,Neutral
3774,2010,Amhara,24580.048828125,0.185119614005089,514.971618652344,4439674.5,161.025131225586,8,334.949214122893,808.767459511647,-109.640397766297,-233.616552692091,571.85833681727,571.85833681727,-171.628475229194,Moderate_Acid
3775,2011,Amhara,24580.048828125,0.185119614005089,514.971618652344,4439674.5,161.025131225586,8,293.660027274266,606.172863101104,-91.3316784622892,-104.081021490927,449.916445187685,449.916445187685,-97.7063499766081,Moderate_Acid
3776,2012,Amhara,24580.048828125,0.185119614005089,514.971618652344,4439674.5,161.025131225586,8,383.942594638714,774.810511044083,-81.0122609768966,-32.0064104478355,579.376552841399,579.376552841399,-56.5093357123661,Moderate_Acid
3777,2013,Amhara,24580.048828125,0.185119614005089,514.971618652344,4439674.5,161.025131225586,8,86.7311419356765,444.103848757232,345.780203262958,261.755798269975,265.417495346454,265.417495346454,303.768000766467,Moderate_Acid
3778,2014,Amhara,24580.048828125,0.185119614005089,514.971618652344,4439674.5,161.025131225586,8,433.262455082072,364.914441922738,-43.0361060511044,196.645011497,399.088448502405,399.088448502405,76.8044527229478,Moderate_Acid
3779,2015,Amhara,24580.048828125,0.185119614005089,514.971618652344,4439674.5,161.025131225586,8,241.66410597147,655.488970844408,-193.411697076477,-170.781880530754,448.576538407939,448.576538407939,-182.096788803615,Moderate_Acid
3780,2016,Amhara,24580.048828125,0.185119614005089,514.971618652344,4439674.5,161.025131225586,8,422.934646280644,1002.41494460537,-330.355523536498,-549.631028458802,712.674795443007,712.674795443007,-439.99327599765,Moderate_Acid
3781,2010,Amhara,25481.4453125,0.108674913644791,505.528625488281,2904955.75,226.617630004883,8,382.495927546803,881.401835643082,-103.967481157305,-227.494195234622,631.948881594942,631.948881594942,-165.730838195963,Neutral
3782,2011,Amhara,25481.4453125,0.108674913644791,505.528625488281,2904955.75,226.617630004883,8,350.958758813518,676.499392171164,-95.075492341357,-110.947149282762,513.729075492341,513.729075492341,-103.011320812059,Neutral
3783,2012,Amhara,25481.4453125,0.108674913644791,505.528625488281,2904955.75,226.617630004883,8,432.474440797471,857.509846827138,-81.1399525893509,-32.5377461706781,644.992143812304,644.992143812304,-56.8388493800145,Neutral
3784,2013,Amhara,25481.4453125,0.108674913644791,505.528625488281,2904955.75,226.617630004883,8,206.627157792367,563.544097982008,320.515681983953,229.816496474593,385.085627887188,385.085627887188,275.166089229273,Neutral
3785,2014,Amhara,25481.4453125,0.108674913644791,505.528625488281,2904955.75,226.617630004883,8,478.291514709454,454.972678093845,-50.9035983467053,194.591174325309,466.63209640165,466.63209640165,71.8437879893018,Neutral
3786,2015,Amhara,25481.4453125,0.108674913644791,505.528625488281,2904955.75,226.617630004883,8,294.635880136153,739.402413080479,-202.484318016047,-192.033096280088,517.019146608316,517.019146608316,-197.258707148068,Neutral
3787,2016,Amhara,25481.4453125,0.108674913644791,505.528625488281,2904955.75,226.617630004883,8,468.872234378802,1076.70265013372,-334.785132506686,-544.365274738634,772.787442256261,772.787442256261,-439.57520362266,Neutral
3788,2010,Amhara,20193.591796875,0.381974428892136,1216.90747070312,3471405.25,53.1589546203613,8,353.682562284322,803.399933066652,-108.455571938087,-234.911143876176,578.541247675487,578.541247675487,-171.683357907131,Neutral
3789,2011,Amhara,20193.591796875,0.381974428892136,1216.90747070312,3471405.25,53.1589546203613,8,316.052013315109,592.087405901295,-92.9153051097721,-101.544919537909,454.069709608202,454.069709608202,-97.2301123238406,Neutral
3790,2012,Amhara,20193.591796875,0.381974428892136,1216.90747070312,3471405.25,53.1589546203613,8,402.091800770151,768.070152673295,-78.778689516617,-28.2669188243728,585.080976721723,585.080976721723,-53.5228041704949,Neutral
3791,2013,Amhara,20193.591796875,0.381974428892136,1216.90747070312,3471405.25,53.1589546203613,8,141.053789785087,451.282347171482,325.1563219915,238.910185129643,296.168068478285,296.168068478285,282.033253560571,Neutral
